Wall time,Step,Value
1689309190.1459346,171652,706.510009765625
1689309199.0720494,172784,709.5399780273438
1689309203.243904,173300,713.9000244140625
1689309204.1285048,173420,719.5399780273438
1689309227.0640552,176192,736.5499877929688
1689309242.572569,178132,747.3400268554688
1689309249.37472,179004,744.1099853515625
1689309260.881384,180492,758.8599853515625
1689309261.9068482,180628,758.8599853515625
1689309265.6979132,181108,753.3900146484375
1689309301.176644,185528,753.6199951171875
1689309321.8127387,188132,735.9099731445312
1689309323.574931,188364,740.5700073242188
1689309344.8084085,190916,736.8300170898438
1689309346.9503322,191176,734.8400268554688
1689309350.4461696,191588,728.4199829101562
1689309364.842672,193424,733.3099975585938
1689309367.6349576,193784,734.6799926757812
1689309380.537945,195424,749.0
1689309383.6448963,195816,752.0599975585938
1689309388.3519583,196412,733.97998046875
1689309397.046396,197516,740.0900268554688
1689309404.8362195,198464,734.6099853515625
1689309406.141809,198616,734.6099853515625
1689309409.85511,199092,737.239990234375
1689309412.652853,199448,735.6300048828125
1689309426.8888633,201228,740.6500244140625
1689309434.7243643,202192,766.8699951171875
1689309438.9537518,202700,764.77001953125
1689309449.7110255,204044,785.47998046875
1689309455.5458765,204752,781.3699951171875
1689309470.1143544,206496,794.6799926757812
1689309472.513122,206768,794.0999755859375
1689309476.268473,207220,778.8300170898438
1689309479.0384085,207556,768.6900024414062
1689309488.0019505,208700,761.8599853515625
1689309503.023745,210636,781.0599975585938
1689309509.1296446,211384,773.3499755859375
1689309511.7587667,211712,773.3499755859375
1689309537.360574,214836,752.9099731445312
1689309548.3312516,216204,777.780029296875
1689309550.6285522,216484,772.969970703125
1689309560.6375895,217736,767.6699829101562
1689309568.1615214,218740,765.1799926757812
1689309585.2388687,220888,751.3699951171875
1689309592.4957173,221800,752.5
1689309594.9900525,222120,749.6500244140625
1689309601.5411484,222904,745.3900146484375
1689309614.574539,224516,766.8300170898438
1689309622.414863,225516,778.52001953125
1689309624.3337426,225744,778.4500122070312
1689309627.8613384,226176,773.4299926757812
1689309631.6364088,226656,781.5900268554688
1689309633.2505155,226840,781.5900268554688
1689309642.0560367,227896,778.72998046875
1689309651.145624,228996,788.3499755859375
1689309662.2823691,230408,804.6699829101562
1689309671.3662531,231544,808.1500244140625
1689309681.1821392,232776,823.2000122070312
1689309689.955739,233780,825.8900146484375
1689309714.1735697,236728,803.510009765625
1689309715.9337592,236952,813.530029296875
1689309724.0089402,237936,808.1300048828125
1689309731.1098475,238816,813.3699951171875
1689309737.1009598,239576,817.7000122070312
1689309747.218099,240820,845.239990234375
1689309766.937314,243360,817.8200073242188
1689309794.0280292,246724,795.5
1689309798.5769923,247300,786.239990234375
1689309807.8068988,248464,766.010009765625
1689309812.8126175,249016,762.780029296875
1689309815.2277365,249316,751.1799926757812
1689309846.0252073,253224,795.969970703125
1689309859.0578134,254872,810.3400268554688
1689309861.835172,255180,796.4500122070312
1689309867.8143313,255900,793.47998046875
1689309869.6286683,256132,793.4000244140625
1689309891.2477698,258784,790.3699951171875
1689309892.62107,258968,790.3699951171875
1689309903.3373048,260292,796.3900146484375
1689309907.5931847,260800,786.52001953125
1689309913.828775,261580,783.72998046875
1689309916.8328443,261964,783.72998046875
1689309930.4643269,263648,811.72998046875
1689309931.712409,263804,814.8800048828125
1689309933.9941971,264092,808.9099731445312
1689309935.2348583,264248,808.5499877929688
1689309938.5880377,264664,810.1400146484375
1689309952.3061292,266372,817.1199951171875
1689309954.2599869,266600,821.260009765625
1689309963.107062,267664,826.6799926757812
1689309964.236203,267804,826.8200073242188
1689310064.832305,280224,813.3200073242188
1689310078.9989352,282020,823.3300170898438
1689310090.7740455,283608,841.2100219726562
1689310109.4347332,285972,873.5800170898438
1689310113.2488413,286452,869.6400146484375
1689310120.062984,287284,868.77001953125
1689310127.3938303,288128,877.0700073242188
1689310128.228565,288232,877.260009765625
1689310136.3933737,289184,880.1799926757812
1689310138.283538,289400,885.0700073242188
1689310150.5348327,290928,909.4299926757812
1689310168.430424,293104,944.0599975585938
1689310196.2882714,296392,933.4600219726562
1689310211.3828838,298252,960.4299926757812
1689310239.895562,301788,969.969970703125
1689310246.939568,302624,980.6799926757812
1689310271.0095544,305668,978.5
